,Questions,Reference Answers,Annotation,Added the right names if they were wrong or additional names if they were missed out or any added comments. ,"In this task, you have verify if the reference answers are correct with respect to the current world knowledge. If your answer matches atleast one of the reference answers, then it is correct. 
Please use Wikipedia (infoboxes contain most answers) primarily for finding the answers. 
If you don't find it on Wikipedia, you may use any news source or basic google search.",question_keys
285,Which political party does Maite Pagazaurtundua belong to currently?,independent politician,Y,Independant politician at Citizens (Spanish political party),,Which political party does Maite Pagazaurtundúa belong to currently?
286,Which political party does Salvo Pogliese belong to currently?,Brothers of Italy,Y,,,Which political party does Salvo Pogliese belong to currently?
287,Which political party does Shigefumi Matsuzawa belong to currently?,Nippon Ishin no Kai,Y,,,Which political party does Shigefumi Matsuzawa belong to currently?
288,Which political party does Michael Biton belong to currently?,Israel Resilience Party,Y,,,Which political party does Michael Biton belong to currently?
289,Which political party does Bongbong Marcos belong to currently?,Partido Federal ng Pilipinas,Y,,,Which political party does Bongbong Marcos belong to currently?
291,Which political party does Fabrizio Cicchitto belong to currently?,"Popular Alternative, New Centre-Right",Y,,,Which political party does Fabrizio Cicchitto belong to currently?
293,Which political party does Mauro Carlesse belong to currently?,Democrats,Y,Brazil Union,,Which political party does Mauro Carlesse belong to currently?
294,Which political party does Vladimir Milov belong to currently?,Russia of the Future,Y,,,Which political party does Vladimir Milov belong to currently?
295,Which political party does Mark Reckless belong to currently?,Abolish the Welsh Assembly Party,Y,,,Which political party does Mark Reckless belong to currently?
296,Which political party does Hiroshi Ogushi belong to currently?,Constitutional Democratic Party of Japan,Y,,,Which political party does Hiroshi Ogushi belong to currently?
297,Which political party does Anne Marie Waters belong to currently?,For Britain,Y,UK Independence Party,,Which political party does Anne Marie Waters belong to currently?
299,Which political party does Daniela Santanche belong to currently?,Brothers of Italy,Y,,,Which political party does Daniela Santanché belong to currently?
300,Which political party does Vladeta Jankovic belong to currently?,independent politician,Y,,,Which political party does Vladeta Janković belong to currently?
301,Which political party does Francisco Sosa Wagner belong to currently?,Ciudadanos,Y,,,Which political party does Francisco Sosa Wagner belong to currently?
302,Which political party does George Galloway belong to currently?,Workers Party of Britain,Y,,,Which political party does George Galloway belong to currently?
303,Which political party does Toru Hashimoto belong to currently?,"Nippon Ishin no Kai, Osaka Restoration Association",Y,,,Which political party does Tōru Hashimoto belong to currently?
305,Which political party does Angelo Vaccarezza belong to currently?,Cambiamo!,Y,,,Which political party does Angelo Vaccarezza belong to currently?
306,Which political party does Milos Zeman belong to currently?,Party of Civic Rights,Y,,,Which political party does Miloš Zeman belong to currently?
307,Which political party does Hazel Poa belong to currently?,Progress Singapore Party,Y,,,Which political party does Hazel Poa belong to currently?
308,Which political party does Massimo Zedda belong to currently?,Progressive Area,Y,Progressive Party (Sardinia),,Which political party does Massimo Zedda belong to currently?
309,Which political party does Jean-Luc Melenchon belong to currently?,"La France insoumise, Left Party (France)",Y,,,Which political party does Jean-Luc Mélenchon belong to currently?
310,Which political party does Kusuo Oshima belong to currently?,Reiwa Shinsengumi,Y,,,Which political party does Kusuo Oshima belong to currently?
311,Which political party does Lourdes Ciuro i Buldo belong to currently?,Junts per Catalunya,Y,,,Which political party does Lourdes Ciuró i Buldó belong to currently?
313,Which political party does Sunil Singh belong to currently?,Bharatiya Janata Party,Y,,,Which political party does Sunil Singh belong to currently?
314,Which political party does Alexander Shokhin belong to currently?,United Russia,Y,,,Which political party does Alexander Shokhin belong to currently?
315,Which political party does Yuriko Koike belong to currently?,"Party of Hope, Tomin First no Kai",Y,,,Which political party does Yuriko Koike belong to currently?
316,Which political party does Diether Dehm-Desoi belong to currently?,The Left,Y,,,Which political party does Diether Dehm-Desoi belong to currently?
317,Which political party does Marcelo Ebrard belong to currently?,National Regeneration Movement,Y,,,Which political party does Marcelo Ebrard belong to currently?
318,Which political party does Anke Domscheit-Berg belong to currently?,The Left,Y,,,Which political party does Anke Domscheit-Berg belong to currently?
319,Which political party does Nadia Valavani belong to currently?,Popular Unity,Y,,,Which political party does Nadia Valavani belong to currently?
321,Which political party does Gabriela Rivadeneira belong to currently?,Citizen Revolution Movement,Y,,,Which political party does Gabriela Rivadeneira belong to currently?
322,Which political party does Vera Jourova belong to currently?,ANO 2011,Y,,,Which political party does Věra Jourová belong to currently?
325,Which political party does Basuki Tjahaja Purnama belong to currently?,Indonesian Democratic Party - Struggle,Y,,,Which political party does Basuki Tjahaja Purnama belong to currently?
326,Which political party does Steven Fletcher belong to currently?,"People's Party of Canada, Manitoba First",Y,,,Which political party does Steven Fletcher belong to currently?
327,Which political party does Alvaro Uribe Velez belong to currently?,Centro Democratico,Y,,,Which political party does Álvaro Uribe Vélez belong to currently?
328,Which political party does Helir-Valdor Seeder belong to currently?,Isamaa,Y,,,Which political party does Helir-Valdor Seeder belong to currently?
329,Which political party does Oleksandr Vilkul belong to currently?,Party of Peace and Development,Y,,,Which political party does Oleksandr Vilkul belong to currently?
330,Which political party does Koichiro Genba belong to currently?,Constitutional Democratic Party of Japan,Y,,,Which political party does Kōichirō Genba belong to currently?
331,Which political party does Ene Ergma belong to currently?,Estonian Reform Party,Y,,,Which political party does Ene Ergma belong to currently?
332,Which political party does Vootele Hansen belong to currently?,Isamaa,Y,,,Which political party does Vootele Hansen belong to currently?
333,Which political party does Masir Kujat belong to currently?,independent politician,Y,,,Which political party does Masir Kujat belong to currently?
335,Which political party does Jordi Xucla belong to currently?,Partit Nacionalista de Catalunya,Y,,,Which political party does Jordi Xuclà belong to currently?
336,Which political party does Ida Auken belong to currently?,Social Democrats,Y,,,Which political party does Ida Auken belong to currently?
337,Which political party does Mahathir Mohamad belong to currently?,Parti Bumiputera Perkasa Malaysia,Y,Also Perikatan Nasional,,Which political party does Mahathir Mohamad belong to currently?
338,Which political party does Pier Luigi Bersani belong to currently?,Democratic Party,Y,,,Which political party does Pier Luigi Bersani belong to currently?
339,Which political party does Amiruddin Hamzah belong to currently?,Homeland Fighter Party,Y,,,Which political party does Amiruddin Hamzah belong to currently?
340,Which political party does Shane Knuth belong to currently?,Katter's Australian Party,Y,,,Which political party does Shane Knuth belong to currently?
341,Which political party does Sergio Chiamparino belong to currently?,Democratic Party,Y,,,Which political party does Sergio Chiamparino belong to currently?
342,Which political party does Yasuko Komiyama belong to currently?,Constitutional Democratic Party of Japan,Y,,,Which political party does Yasuko Komiyama belong to currently?
343,Which political party does Obren Joksimovic belong to currently?,Serbian Radical Party,Y,,,Which political party does Obren Joksimović belong to currently?
344,Which political party does Sylvain Maillard belong to currently?,Renaissance,Y,,,Which political party does Sylvain Maillard belong to currently?
345,Which political party does Ulrike Trebesius belong to currently?,independent politician,Y,,,Which political party does Ulrike Trebesius belong to currently?
347,Which employer does Sebastian Deffner work for currently?,"University of Maryland, Baltimore County",Y,,,Which employer does Sebastian Deffner work for currently?
348,Which employer does Simon Overland work for currently?,Burnie City Council,NF,,,Which employer does Simon Overland work for currently?
349,Which employer does Stephanie Renouvin work for currently?,"W9, RTL2, C8, LCI",NF,,,Which employer does Stéphanie Renouvin work for currently?
351,Which employer does Iolanda Batalle work for currently?,Llibreria Ona,Y,,,Which employer does Iolanda Batallé work for currently?
353,Which employer does Ken Levine work for currently?,Ghost Story Games,Y,,,Which employer does Ken Levine work for currently?
354,Which employer does Joan Frances Blanc work for currently?,Eviden,Y,,,Which employer does Joan Francés Blanc work for currently?
356,Which employer does Satyan Devadoss work for currently?,"University of California, San Diego",Y,,,Which employer does Satyan Devadoss work for currently?
357,Which employer does Rane Willerslev work for currently?,National Museum of Denmark,Y,,,Which employer does Rane Willerslev work for currently?
358,Which employer does Wendy I Baltzer work for currently?,University of Sydney,Y,,,Which employer does Wendy I Baltzer work for currently?
360,Which employer does David O. Sacks work for currently?,Craft Ventures,Y,,,Which employer does David O. Sacks work for currently?
361,Which employer does Michael Hout work for currently?,New York University,Y,,,Which employer does Michael Hout work for currently?
362,Which employer does Stephan Matthai work for currently?,University of Melbourne,Y,,,Which employer does Stephan Matthai work for currently?
364,Which employer does Alejandro Jenkins work for currently?,University of Costa Rica,Y,,,Which employer does Alejandro Jenkins work for currently?
367,Which employer does James E. Ryan work for currently?,University of Virginia,Y,,,Which employer does James E. Ryan work for currently?
368,Which employer does Mark Aguiar work for currently?,Princeton University,Y,,,Which employer does Mark Aguiar work for currently?
369,Which employer does Wendy L. Queen work for currently?,Swiss Federal Institute of Technology in Lausanne,Y,,,Which employer does Wendy L. Queen work for currently?
370,Which employer does Elias G. Carayannis work for currently?,The George Washington University School of Business,Y,,,Which employer does Elias G. Carayannis work for currently?
371,Which employer does Anne-Sophie Lapix work for currently?,France 2,Y,,,Which employer does Anne-Sophie Lapix work for currently?
372,Which employer does Sylvia Burwell work for currently?,American University,Y,,,Which employer does Sylvia Burwell work for currently?
374,Which employer does Diana Coben work for currently?,University of East Anglia,Y,,,Which employer does Diana Coben work for currently?
375,Which employer does Michael R. Dietrich work for currently?,University of Pittsburgh,Y,,,Which employer does Michael R. Dietrich work for currently?
376,Which employer does Richard J. Evans work for currently?,Gresham College,Y,,,Which employer does Richard J. Evans work for currently?
377,Which employer does Simon Gillham work for currently?,Vivendi,Y,,,Which employer does Simon Gillham work for currently?
379,Which employer does Marcelle Soares-Santos work for currently?,University of Michigan,Y,,,Which employer does Marcelle Soares-Santos work for currently?
381,Which employer does Theodore Ts'o work for currently?,Google,Y,,,Which employer does Theodore Ts'o work for currently?
383,Which employer does Chris Van Den Wyngaert work for currently?,International Criminal Court,Y,,,Which employer does Chris Van Den Wyngaert work for currently?
385,Which employer does Christopher Barner-Kowollik work for currently?,Queensland University of Technology,Y,,,Which employer does Christopher Barner-Kowollik work for currently?
386,Which employer does Gregory Timp work for currently?,University of Notre Dame,Y,,,Which employer does Gregory Timp work for currently?
389,Which employer does Marie desJardins work for currently?,Simmons University,Y,,,Which employer does Marie desJardins work for currently?
391,Which employer does John Owusu Gyapong work for currently?,University of Health and Allied Sciences,Y,,,Which employer does John Owusu Gyapong work for currently?
392,Which employer does Shannon Sullivan work for currently?,University of North Carolina at Charlotte,Y,,,Which employer does Shannon Sullivan work for currently?
393,Which employer does David Konstan work for currently?,New York University,Y,"Also, Konstan died May 2, 2024",,Which employer does David Konstan work for currently?
395,Which employer does Eva Kreienkamp work for currently?,Berliner Verkehrsbetriebe,Y,,,Which employer does Eva Kreienkamp work for currently?
396,Which employer does Erwin Chemerinsky work for currently?,UC Berkeley School of Law,Y,,,Which employer does Erwin Chemerinsky work for currently?
397,Which employer does Younan Xia work for currently?,Georgia Tech,Y,,,Which employer does Younan Xia work for currently?
398,Which employer does Valerie Barr work for currently?,"Bard College, Mount Holyoke College, Union College",Y,,,Which employer does Valerie Barr work for currently?
399,Which employer does Nuria Oliver work for currently?,ELLIS Alicante,Y,,,Which employer does Nuria Oliver work for currently?
400,Which employer does Shalanda Young work for currently?,Office of Management and Budget,Y,,,Which employer does Shalanda Young work for currently?
401,Which employer does Kimberly Drew work for currently?,Pace Gallery,Y,Source: LinkedIn,,Which employer does Kimberly Drew work for currently?
403,Which employer does Aaron Ames work for currently?,California Institute of Technology,Y,,,Which employer does Aaron Ames work for currently?
404,Which employer does Gilda A Barabino work for currently?,"Franklin W. Olin College of Engineering, City College of New York",Y,,,Which employer does Gilda A Barabino work for currently?
405,Which employer does Juliet Ehimuan work for currently?,Google,Y,,,Which employer does Juliet Ehimuan work for currently?
406,Which employer does Eric Katz work for currently?,Ohio State University,Y,,,Which employer does Eric Katz work for currently?
408,Which employer does Steve Alford work for currently?,"University of Nevada, Reno",Y,,,Which employer does Steve Alford work for currently?
409,Which employer does Fumio Hayashi work for currently?,National Graduate Institute for Policy Studies,Y,,,Which employer does Fumio Hayashi work for currently?
410,Which employer does Frederic Mion work for currently?,Gide Loyrette Nouel,Y,Gide Loyrette Nouel website,,Which employer does Frédéric Mion work for currently?
411,Which employer does Henrietta Harrison work for currently?,University of Oxford,Y,,,Which employer does Henrietta Harrison work for currently?
412,Which employer does Timothy Geithner work for currently?,Warburg Pincus,Y,,,Which employer does Timothy Geithner work for currently?
413,Which employer does Saul Dubow work for currently?,University of Cambridge,Y,,,Which employer does Saul Dubow work for currently?
414,Which employer does John Alroy work for currently?,Macquarie University,Y,,,Which employer does John Alroy work for currently?
415,Which employer does Vicki Grassian work for currently?,"University of California, San Diego",Y,,,Which employer does Vicki Grassian work for currently?
416,Which employer does Max Hollein work for currently?,"Metropolitan Museum of Art, Solomon R. Guggenheim Museum",Y,,,Which employer does Max Hollein work for currently?
417,Which employer does Peter T. Gallagher work for currently?,Dublin Institute for Advanced Studies,Y,,,Which employer does Peter T. Gallagher work for currently?
418,Which employer does Nicholas M Fisk work for currently?,University of New South Wales,Y,,,Which employer does Nicholas M Fisk work for currently?
420,Which employer does Nancy Tatom Ammerman work for currently?,Boston University,Y,,,Which employer does Nancy Tatom Ammerman work for currently?
422,Which employer does Sagiri Kitao work for currently?,University of Tokyo,Y,,,Which employer does Sagiri Kitao work for currently?
423,Which employer does Harold Hurtt work for currently?,U.S. Immigration and Customs Enforcement,Y,,,Which employer does Harold Hurtt work for currently?
424,Which employer does Marta Tufet work for currently?,UK Collaborative on Development Research,Y,,,Which employer does Marta Tufet work for currently?
425,Which employer does Angela Casini work for currently?,Cardiff University,Y,,,Which employer does Angela Casini work for currently?
426,Which employer does Julia Ebner work for currently?,Institute for Strategic Dialogue,Y,,,Which employer does Julia Ebner work for currently?
427,Which employer does Samy Bengio work for currently?,Apple,Y,,,Which employer does Samy Bengio work for currently?
428,Which employer does Marcus Hutter work for currently?,"Google DeepMind, Australian National University",Y,,,Which employer does Marcus Hutter work for currently?
429,Which employer does Ingrid Schaffner work for currently?,Hauser & Wirth,Y,,,Which employer does Ingrid Schaffner work for currently?
430,Which employer does Barbara Fantechi work for currently?,International School for Advanced Studies,Y,,,Which employer does Barbara Fantechi work for currently?
431,Which employer does Maria R. Servedio work for currently?,University of North Carolina at Chapel Hill,Y,,,Which employer does Maria R. Servedio work for currently?
432,Which employer does James A. Robinson work for currently?,Harris School of Public Policy Studies,Y,University of Chicago,,Which employer does James A. Robinson work for currently?
433,Which employer does Jennifer Westacott work for currently?,"Western Sydney University, Business Council of Australia",Y,,,Which employer does Jennifer Westacott work for currently?
435,Which employer does Michael Riessler work for currently?,University of Eastern Finland,Y,,,Which employer does Michael Rießler work for currently?
436,Which employer does Peter Donnelly work for currently?,"Genomics plc, Wellcome Centre for Human Genetics, Wellcome Centre for Human Genetics, University of Oxford",Y,,,Which employer does Peter Donnelly work for currently?
437,Which employer does Peter Mathieson work for currently?,University of Edinburgh,Y,,,Which employer does Peter Mathieson work for currently?
439,Which employer does Anne-Marie Slaughter work for currently?,New America,Y,,,Which employer does Anne-Marie Slaughter work for currently?
440,Which employer does Alexander Laszlo work for currently?,Bertalanffy Center for the Study of Systems Science,Y,"Also, Laszlo Institute of New Paradigm Research ",,Which employer does Alexander Laszlo work for currently?
441,Which employer does Sylvia Richardson work for currently?,University of Cambridge,Y,,,Which employer does Sylvia Richardson work for currently?
442,Which employer does Megyn Kelly work for currently?,Sirius XM,Y,,,Which employer does Megyn Kelly work for currently?
444,Which employer does Pascale Allotey work for currently?,United Nations University-International Institute for Global Health,Y,,,Which employer does Pascale Allotey work for currently?
445,Which employer does Cristina Gallash work for currently?,Government of Spain,Y,Special Commissioner for the Alliance for the New Economy of Language of Spain,,Which employer does Cristina Gallash work for currently?
446,Which employer does Robyn Denholm work for currently?,"Telstra, Tesla, Inc.",Y,,,Which employer does Robyn Denholm work for currently?
448,Which employer does Daniel J. Myers work for currently?,Misericordia University,Y,,,Which employer does Daniel J. Myers work for currently?
449,Which employer does Cecilia Lo work for currently?,University of Pittsburgh,Y,,,Which employer does Cecilia Lo work for currently?
450,Which employer does Shannon Walsh work for currently?,University of British Columbia,Y,,,Which employer does Shannon Walsh work for currently?
451,Which employer does Christine Lane work for currently?,University of Cambridge,Y,,,Which employer does Christine Lane work for currently?
452,Which employer does Noemi de Miguel work for currently?,DAZN F1,Y,,,Which employer does Noemí de Miguel work for currently?
453,Which employer does Cui Yongyuan work for currently?,Communication University of China,Y,,,Which employer does Cui Yongyuan work for currently?
454,Which employer does Sven Pagel work for currently?,Mainz University of Applied Sciences,Y,,,Which employer does Sven Pagel work for currently?
455,Which employer does Philippa Levine work for currently?,University of Texas at Austin,Y,,,Which employer does Philippa Levine work for currently?
456,Which employer does Amy Barr work for currently?,Planetary Science Institute,Y,,,Which employer does Amy Barr work for currently?
457,Which employer does Gaetan de Rassenfosse work for currently?,Swiss Federal Institute of Technology in Lausanne,Y,,,Which employer does Gaétan de Rassenfosse work for currently?
458,Which employer does Mustafa Akyol work for currently?,Cato Institute,Y,,,Which employer does Mustafa Akyol work for currently?
459,Which employer does Enrique Alfaro Ramirez work for currently?,Governor of Jalisco,Y,,,Which employer does Enrique Alfaro Ramírez work for currently?
460,Which employer does Sarah Feinberg work for currently?,New York City Transit Authority,Y,,,Which employer does Sarah Feinberg work for currently?
462,Which employer does Elizabeth T. Borer work for currently?,University of Minnesota,Y,,,Which employer does Elizabeth T. Borer work for currently?
463,Which employer does Marilo Montero work for currently?,"La Fabrica de la Tele, Grupo Joly",Y,,,Which employer does Mariló Montero work for currently?
464,Which employer does Wieslaw Tarka work for currently?,Ministry of Foreign Affairs of Poland,Y,,,Which employer does Wiesław Tarka work for currently?
467,Which employer does Zeina Yazigi work for currently?,Asharq News,Y,,,Which employer does Zeina Yazigi work for currently?
468,Which employer does Mohammad H Ansari work for currently?,"Research Centre Julich, Delft University of Technology",Y,,,Which employer does Mohammad H Ansari work for currently?
470,Which employer does Francois Pachet work for currently?,Spotify,Y,,,Which employer does François Pachet work for currently?
471,Which employer does Michaela Pereira work for currently?,KTTV,Y,,,Which employer does Michaela Pereira work for currently?
472,Which employer does Moxie Marlinspike work for currently?,Signal Messenger,Y,,,Which employer does Moxie Marlinspike work for currently?
473,Which employer does Ellen Muehlberger work for currently?,University of Michigan,Y,,,Which employer does Ellen Muehlberger work for currently?
474,Which employer does Julian A. Dowdeswell work for currently?,"Scott Polar Research Institute, University of Cambridge",Y,,,Which employer does Julian A. Dowdeswell work for currently?
475,Which employer does Clive Ballard work for currently?,University of Exeter,Y,,,Which employer does Clive Ballard work for currently?
476,Which employer does Orm Finnendahl work for currently?,Frankfurt University of Music and Performing Arts,Y,,,Which employer does Orm Finnendahl work for currently?
477,Which employer does Deborah Sugg Ryan work for currently?,University of Portsmouth,Y,,,Which employer does Deborah Sugg Ryan work for currently?
478,Which employer does Roman Badanin work for currently?,Proekt,Y,,,Which employer does Roman Badanin work for currently?
479,Which employer does Bernhard Scholkopf work for currently?,Max Planck Institute for Intelligent Systems,Y,"Also, a professor at ETH Zürich",,Which employer does Bernhard Schölkopf work for currently?
480,Which employer does Johannes Teyssen work for currently?,E.ON SE,Y,,,Which employer does Johannes Teyssen work for currently?
481,Which employer does Teija Tiilikainen work for currently?,European Centre of Excellence for Countering Hybrid Threats,Y,,,Which employer does Teija Tiilikainen work for currently?
482,Which employer does Annechien Steenhuizen work for currently?,Nederlandse Omroep Stichting,Y,,,Which employer does Annechien Steenhuizen work for currently?
483,Which employer does Dirk Helbing work for currently?,ETH Zurich,Y,,,Which employer does Dirk Helbing work for currently?
484,Which employer does Sabine Hyland work for currently?,University of St Andrews,Y,,,Which employer does Sabine Hyland work for currently?
485,Which employer does Simone Young work for currently?,Sydney Symphony Orchestra,Y,,,Which employer does Simone Young work for currently?
487,Which employer does David K. Levine work for currently?,European University Institute,Y,Also at University of London,,Which employer does David K. Levine work for currently?
488,Which employer does Allison Littlejohn work for currently?,University College London,Y,,,Which employer does Allison Littlejohn work for currently?
489,Which employer does Faye McLeod work for currently?,Bodleian Libraries,Y,Employer Name: Oxford University,,Which employer does Faye McLeod work for currently?
490,Which employer does Nada Al-Nashif work for currently?,Office of the High Commissioner for Human Rights,Y,,,Which employer does Nada Al-Nashif work for currently?
491,Which employer does Katya Scheinberg work for currently?,Cornell University,Y,,,Which employer does Katya Scheinberg work for currently?
492,Which employer does Ken Murph work for currently?,Tesco,Y,,,Which employer does Ken Murph work for currently?
493,Which employer does Manuel Estiarte work for currently?,Manchester City F.C.,Y,,,Which employer does Manuel Estiarte work for currently?
494,Which employer does Khaled Koubaa work for currently?,Facebook,Y,,,Which employer does Khaled Koubaa work for currently?
495,Which employer does Sinead Farrington work for currently?,"University of Edinburgh, University of Warwick",Y,,,Which employer does Sinead Farrington work for currently?
496,Which employer does Raj Kumar Yadav work for currently?,Central University of Punjab,NF,,,Which employer does Raj Kumar Yadav work for currently?
497,Which employer does Ajit Pai work for currently?,"Searchlight Capital, American Enterprise Institute, Federal Communications Commission",Y,,,Which employer does Ajit Pai work for currently?
498,Which employer does Lukas M. Vytlacil work for currently?,National Heritage Institute,Y,,,Which employer does Lukáš M. Vytlačil work for currently?
499,Which employer does Jordan Randall Smith work for currently?,"Opus Concert Theatre, Frederick Regional Youth Orchestra, Symphony Number One",Y,"Also, John Hopkins university",,Which employer does Jordan Randall Smith work for currently?
