Questions,Reference Answers,Correct? Y/N/ NF,"Y = yes, N = no, NF = not found",,"In this task, you have to verify if the reference answers are correct with respect to the current world knowledge. If your answer matches atleast one of the reference answers, then it is correct. Please use Wikipedia (infoboxes contain most answers) primarily for finding the answers. If you don't find it on Wikipedia, you may use any news source or basic google search."
Who is the chair of Agglomeration community of Annemasse - Les Voirons currently?,Gabriel Doublet,N,,,
Who is the chair of Christian Social People's Party currently?,Luc Frieden,Y,,,
Who is the chair of Christian Democratic Appeal currently?,Hans Huibers,N,,,
Who is the chair of Ministry of Health and Welfare currently?,Park Neung-hoo,Y,,,
Who is the chair of Fondation Louis-de-Broglie currently?,Christian de Pange,NF,,,
Who is the chair of Intergovernmental Platform on Biodiversity and Ecosystem Services currently?,Ana Maria Hernandez Salgar,N,,,
Who is the chair of Fondation de France currently?,Pierre Sellal,N,,,
"Who is the chair of Ministry of Agriculture, Food and Rural Affairs currently?",Kim Hyeon-soo,N,,,
Who is the chair of Federal Emergency Management Agency currently?,Pete Gaynor,N,,,
Who is the chair of Ministry of Health of Germany currently?,Karl Lauterbach,Y,,,
Who is the chair of Unione Sportiva Catanzaro currently?,Floriano Noto,Y,,,
Who is the chair of Natural History Museum currently?,Patrick Vallance,NF,,,
Who is the chair of FIFA currently?,Gianni Infantino Riovaldi,Y,,,
Who is the chair of Birzeit University currently?,Beshara Doumani,N,,,
Who is the chair of Bordeaux Montaigne University currently?,"Lionel Larre, Helene Velasco-Graciet",Y,,,
Who is the chair of KDU-CSL currently?,Marian Jurecka,Y,,,
Who is the chair of Writers' Union of Romania currently?,Nicolae Manolescu,Y,,,
Who is the chair of National Institute of Standards and Technology currently?,Laurie E. Locascio,Y,,,
Who is the chair of Bund fur Umwelt und Naturschutz Deutschland currently?,Olaf Bandt,N,,,
Who is the chair of Confederation of German Trade Unions currently?,Yasmin Fahimi,Y,,,
Who is the chair of Anti-Defamation League currently?,Jonathan Greenblatt,Y,,,
Who is the chair of Verband der Reservisten der Deutschen Bundeswehr currently?,Patrick Sensburg,Y,,,
Who is the chair of Democratic Progressive Party currently?,Lai Ching-te,Y,,,
Who is the chair of People's Party of the Basque Country currently?,Carlos Jose Iturgaiz Angulo,Y,,,
Who is the chair of Technical University of Munich currently?,Thomas F. Hofmann,Y,,,
Who is the chair of European Film Academy currently?,Agnieszka Holland,N,,,
Who is the chair of International Tribunal for the Law of the Sea currently?,Jin-Hyun Paik,N,,,
Who is the chair of World Wide Fund for Nature currently?,Adil Najam,Y,,,
Who is the chair of Italian Radicals currently?,Antonella Soldo,N,,,
Who is the chair of Croatian National Bank currently?,Boris Vujcic,Y,,,
Who is the chair of Protezione Civile currently?,Fabrizio Curcio,Y,,,
Who is the chair of Union of Italian Jewish Communities currently?,Noemi Di Segni,Y,,,
Who is the chair of Scottish National Party currently?,Humza Yousaf,Y,,,
Who is the chair of Security Service of Ukraine currently?,Vasyl Malyuk,Y,,,
Who is the chair of Young Socialists currently?,Jessica Rosenthal,NF,,,
Who is the chair of Johns Hopkins University currently?,Ronald J. Daniels,Y,,,
Who is the chair of Federation Internationale de l'Automobile currently?,Mohammed bin Sulayem,Y,,,
Who is the chair of PEN International currently?,Jennifer Clement,N,,,
"Who is the chair of Paris Observatory, PSL University currently?",Fabienne Casoli,Y,,,
Who is the chair of United States Department of State currently?,Antony Blinken,Y,,,
Who is the chair of Eurelectric currently?,Francesco Starace,N,,,
Who is the chair of National Police of Ukraine currently?,Ivan Vyhivskyi,Y,,,
Who is the chair of University of Limoges currently?,Isabelle Klock-Fontanille,N,,,
Who is the chair of Ministry of Transport and Communications currently?,Jon-Ivar Nygard,NF,,,
Who is the chair of International Ski Federation currently?,Johan Eliasch,Y,,,
Who is the chair of Civic Choice currently?,Mariano Rabino,N,,,
Who is the chair of ANSOL - Associacao Nacional para o Software Livre currently?,Tiago Carrondo,Y,,,
Who is the chair of Embassy of Ukraine currently?,Sergey Shutenko,NF,,,
Who is the chair of International AIDS Society currently?,Adeeba Kamarulzaman,Y,,,
Who is the chair of Mouvement des Entreprises de France currently?,Patrick Martin,Y,,,
Who is the chair of Chamber of Deputies currently?,Claude Wiseler,Y,,,
Who is the chair of University of Tokyo currently?,Teruo Fujii,Y,,,
"Who is the chair of Food, Beverages and Catering Union currently?",Guido Zeitler,Y,,,
Who is the chair of Democratic Convergence of Catalonia currently?,Vicenc Mauri i Claret,NF,,,
Who is the chair of Scottish Parliament currently?,Alison Johnstone,Y,,,
Who is the chair of Supreme Council of the Armed Forces currently?,Sedki Sobhi,N,,,
Who is the chair of Czech Social Democratic Party currently?,Michal Smarda,Y,,,
Who is the chair of Economic Community of West African States currently?,Bola Tinubu,Y,,,
Who is the chair of People's Party of the Balearic Islands currently?,Margarita Prohens Rigo,Y,,,
Who is the chair of Belgian Senate currently?,Stephanie D'Hose,Y,,,
Who is the chair of Delta Air Lines currently?,Frank Blake,N,,,
Who is the chair of Confederation des syndicats nationaux currently?,Caroline Senneville,Y,,,
Who is the chair of University Sorbonne Nouvelle currently?,Daniel Mouchard,N,,,
Who is the chair of Confederation of Independent Trade Unions of Luxembourg currently?,Nora Back,Y,,,
Who is the chair of French Prehistoric Society currently?,Jean-Denis Vigne,Y,,,
Who is the chair of Ministry of Health Population and Hospital Reform currently?,Abdelhak Saihi,Y,,,
Who is the chair of BT Group currently?,Jan du Plessis,N,,,
Which position does Katarina Brannstrom hold currently?,Member of the Committee on Social Insurance,N,,,
Which position does Juan Carlos I hold currently?,king emeritus of Spain,Y,,,
Which position does Abdul-Rauf Tanko Ibrahim hold currently?,Member of the 7th Parliament of the 4th Republic of Ghana,Y,,,
Which position does David Hurley hold currently?,Governor-General of Australia,Y,,,
Which position does Christianne van der Wal hold currently?,"member of the House of Representatives of the Netherlands, Minister for Nature and Nitrogen",Y,,,
Which position does Arrigo Miglio hold currently?,cardinal,Y,,,
Which position does Philippa Whitford hold currently?,member of the 58th Parliament of the United Kingdom,Y,,,
Which position does James Gray hold currently?,member of the 58th Parliament of the United Kingdom,Y,,,
Which position does Hirofumi Yoshimura hold currently?,Governor of Osaka Prefecture,Y,,,
Which position does Ximena Rincon hold currently?,senator of Chile,N,,,
Which position does R. Nicholas Burns hold currently?,United States Ambassador to China,Y,,,
Which position does Janos Suli hold currently?,member of the National Assembly of Hungary,N,,,
Which position does Thomas Buchanan hold currently?,Member of the 6th Northern Ireland Assembly,Y,,,
Which position does Manjalamkuzhi Ali hold currently?,Member of the 15th Kerala Legislative Assembly,Y,,,
Which position does Anandiben Patel hold currently?,governor of Uttar Pradesh,Y,,,
Which position does Maria Elisabetta Alberti Casellati hold currently?,"Minister for Institutional Reforms, member of the Italian Senate",Y,,,
Which position does Katherine Clark hold currently?,United States representative,Y,,,
Which position does Barry Andrews hold currently?,member of the European Parliament,Y,,,
Which position does Nicholas Macpherson hold currently?,member of the House of Lords,Y,,,
Which position does Ted Lieu hold currently?,United States representative,Y,,,
Which position does Paul Beresford hold currently?,member of the 58th Parliament of the United Kingdom,Y,,,
Which position does Lydia Mutsch hold currently?,"Representative of the Parliamentary Assembly of the Council of Europe, Deputy of the Chamber of Deputies of Luxembourg",N,,,
Which position does Paul Frew hold currently?,"Member of the Legislative Assembly of Northern Ireland, Member of the 6th Northern Ireland Assembly",Y,,,
Which position does Martin Schulz hold currently?,"chairperson, chairman of the Social Democratic Party",Y,,,
Which position does Marcy Kaptur hold currently?,United States representative,Y,,,
Which position does Philip Davies hold currently?,member of the 58th Parliament of the United Kingdom,Y,,,
Which position does Patricia de Lille hold currently?,member of the National Assembly of South Africa,Y,,,
Which position does David Maclean hold currently?,"substitute member of the Parliamentary Assembly of the Council of Europe, member of the House of Lords",Y,,,
Which position does Daniel Sirera hold currently?,"Barcelona provincial deputy, city councilor of Barcelona, secretary member of the Catalan Audiovisual Council, member of the Catalan Audiovisual Council",Y,,,
Which position does Hrushikesh Naik hold currently?,Member of the Fifteenth Odisha Legislative Assembly,Y,,,
Which position does Abdul-Rashid Pelpuo hold currently?,"Member of the 8th Parliament of the 4th Republic of Ghana, Member of the 7th Parliament of the 4th Republic of Ghana",Y,,,
Which position does John R. Bass hold currently?,Under Secretary of State for Management,Y,,,
Which position does Jackie Baillie hold currently?,Member of the 6th Scottish Parliament,Y,,,
Which position does Mike Hedges hold currently?,Member of the 6th Senedd,Y,,,
Which position does V. D. Satheesan hold currently?,Member of the 15th Kerala Legislative Assembly,Y,,,
Which position does Anne-Marie Descotes hold currently?,Permanent secretary of the French Foreign Affairs Ministry,N,,,
Which position does Denis McDonough hold currently?,United States Secretary of Veterans Affairs,Y,,,
Which position does Arthur Roche hold currently?,"cardinal-deacon, prefect of the Congregation for Divine Worship and the Discipline of the Sacraments",Y,,,
Which position does Ivan Flores hold currently?,deputy of Chile,Y,,,
Which position does Simranjit Singh Mann hold currently?,Member of the 17th Lok Sabha,Y,,,
Which position does Chang San-cheng hold currently?,Mayor of Taoyuan,Y,,,
Which position does Tsai Ing-wen hold currently?,President of the Republic of China,Y,,,
Which position does Peter Aldous hold currently?,member of the 58th Parliament of the United Kingdom,Y,,,
Which position does David Quarrey hold currently?,Permanent Representative of the United Kingdom to NATO,Y,,,
Which position does Vernon Coaker hold currently?,"member of the House of Lords, substitute member of the Parliamentary Assembly of the Council of Europe",Y,,,
Which position does Anniken Huitfeldt hold currently?,member of the Parliament of Norway,N,,,
Which position does Siim Kallas hold currently?,member of the Riigikogu,N,,,
Which position does Bethany Hall-Long hold currently?,Lieutenant Governor of Delaware,Y,,,
Which position does Olivia Santana hold currently?,state deputy of Bahia,Y,,,
Which position does Sammy Wilson hold currently?,member of the 58th Parliament of the United Kingdom,Y,,,
Who is the owner of Mediocredito Centrale currently?,Invitalia,Y,,,
Who is the owner of Eurosport currently?,Warner Bros. Discovery,Y,,,
Who is the owner of When Will You Marry? currently?,Al-Mayassa bint Hamad bin Khalifa Al-Thani,Y,,,
Who is the owner of Tiger Aspect Productions currently?,Banijay,Y,,,
Who is the owner of DS <<Stord>> currently?,Stiftelsen D/S Stord I,Y,,,
Who is the owner of Toronto Athletic Club currently?,University of Toronto,N,,,
Who is the owner of Alfa Romeo currently?,Stellantis,Y,,,
Who is the owner of Reber Radio Telescope currently?,Green Bank Observatory,NF,,,
Who is the owner of Le Reve currently?,Steven A. Cohen,Y,,,
Who is the owner of Mountain Studios currently?,Mercury Phoenix Trust,Y,,,
Who is the owner of Donington Hall currently?,Norton Motorcycle Company,N,,,
Who is the owner of Regency Enterprises currently?,The Walt Disney Company,N,,,
Who is the owner of Brodhead-Bell-Morton Mansion currently?,Hungary,Y,,,
Who is the owner of de Havilland Canada currently?,Longview Aviation Capital,Y,,,
Who is the owner of Akron Beacon Journal currently?,GateHouse Media,Y,,,
Who is the owner of Engadget currently?,Yahoo!,Y,,,
Who is the owner of Westfield Montgomery currently?,Unibail Rodamco Westfield,Y,,,
Who is the owner of Johnny Lightning currently?,"Round 2 Corp, LLC",Y,,,
Who is the owner of Agrofert currently?,"AB private trust I, AB private trust II",Y,,,
Who is the owner of FiveThirtyEight currently?,ABC News,Y,,,
"Who is the owner of Blount, Inc. currently?",Platinum Equity,Y,,,
Who is the owner of GMMTV currently?,"The One Enterprise, GMM Channel Holding",Y,,,
Who is the owner of Perno shipyard currently?,Meyer Turku,NF,,,
Who is the owner of North Stafford Hotel currently?,Britannia Hotels,Y,,,
Who is the owner of i currently?,Daily Mail and General Trust,Y,,,
Who is the owner of Com Hem currently?,BC Partners,N,,,
Who is the owner of NTV currently?,Gazprom-Media,Y,,,
Who is the owner of Gravesend town pier currently?,"Thames Clippers, Midland Railway",Y,,,
