Questions,Reference Answers,Correct? Y/N/ NF,"Y = yes, N = no, NF = not found"
Which team did Naser Al Sebai play for before the current team?,"Churchill Brothers S.C., Persib Bandung",Y,
Which team did Fatih Sen play for before the current team?,"Adanaspor, Adana Demirspor",N,Bayrampaşa
Which team did Damien Da Silva play for before the current team?,Stade Rennais F.C.,N,Lyon
Which team did Ahmad Sedik play for before the current team?,Al Ahly SC,N,Haras El Hodoud
Which team did Dion Donohue play for before the current team?,Sutton Coldfield Town F.C.,N,Barrow
Which team did Manuele Boaro play for before the current team?,Astana Qazaqstan Team,N,Bahrain–Merida
Which team did Zaza Pachulia play for before the current team?,Atlanta Hawks,N,Golden State Warriors
Which team did Dalibor Volas play for before the current team?,NK Celje,N,Sevegliano
Which team did Jaycee Gebhard play for before the current team?,Robert Morris Colonials women's ice hockey,Y,
Which team did Clement Badin play for before the current team?,"FC Girondins de Bordeaux, Real Aviles CF",N,Blois
Which team did Andrei Ciolacu play for before the current team?,Floriana F.C.,Y,
Which team did Milan Joksimovic play for before the current team?,FK Novi Pazar,Y,
Which team did Curtis Samuel play for before the current team?,Carolina Panthers,Y,
Which team did Nikola Zizic play for before the current team?,NK Krka,N,Metalac
Which team did Talaohu Musafri play for before the current team?,Madura United F.C.,N,Bantul United
Which team did Giancarlo Improta play for before the current team?,F.C. Torre Neapolis 1944,N,San Severo
Which team did Dudu Biton play for before the current team?,Hapoel Tel Aviv F.C.,N,Maccabi Jaffa
Which team did Sergei Vladimirovich Panov play for before the current team?,FC Dynamo Saint Petersburg,Y,
Which team did Daniel Heuer Fernandes play for before the current team?,VfL Osnabruck,N,Darmstadt 98
Which team did Florian Loshaj play for before the current team?,CSM Politehnica Iasi,N,Cracovia
Which team did Jonathan Kodjia play for before the current team?,Aston Villa F.C.,N,Umm Salal
Which team did Kostyantyn Kravchenko play for before the current team?,"FK Spartaks Jurmala, FC Mariupol",N,Desna Chernihiv
Which team did Andreea Popa play for before the current team?,CS Rapid Bucuresti,Y,
Which team did Lucas Musculus play for before the current team?,"SV Bergisch Gladbach 09, FC Viktoria Koln",N,1. FC Köln II
Which team did Patrick Schelling play for before the current team?,Team Vorarlberg,Y,
Which team did Anthony Sichi play for before the current team?,RC Strasbourg,N,Béziers
Which team did Adisorn Promrak play for before the current team?,Thailand national under-23 football team,N, Nongbua Pitchaya 
Which team did Jetse Bol play for before the current team?,Manzana Postobon Team,Y,
Which team did Sampson Cudjoe play for before the current team?,Medeama SC,Y,
Which team did Jonas Vinck play for before the current team?,Lierse Kempenzonen,N,Virton
Which team did Harm Zeinstra play for before the current team?,FC Emmen,N,Cambuur
Which team did Benjamin Jeannot play for before the current team?,Dijon FCO,Y,
Which team did Meghdad Ghobakhlou play for before the current team?,Sanat Naft F.C.,N,Gostaresh Foulad
Which team did Joseph Kamwendo play for before the current team?,TP Mazembe,N,Tshakhuma
Which team did Christophe Noppe play for before the current team?,Arkea-B&B Hotels,Y,
Which team did Sofiane Hanni play for before the current team?,KV Mechelen,N,Al-Ahli
Which team did Ivelin Yanev play for before the current team?,Neftochimic Burgas 1986,Y,
Which team did Krisztian Vadocz play for before the current team?,Deportivo Alaves,N,Montevideo Wanderers
Which team did Markos Maragoudakis play for before the current team?,Chania F.C.,N,Ialysos
Which team did Beatrice Rossato play for before the current team?,Top Girls Fassa Bortolo,Y,
Which team did Admir Ujkaj play for before the current team?,"KS Vllaznia Shkoder, KS Veleciku Koplik",N,Burreli
Which team did Malcom Edjouma play for before the current team?,FCSB,Y,
Which team did Todor Kyuchukov play for before the current team?,FC Bansko,Y,
Which team did Dmytro Matviyenko play for before the current team?,SC Tavriya Simferopol,N,Yevpatoriya
Which team did Jedaias Capucho Neves play for before the current team?,"Potenza Calcio, Nuorese Calcio",N,Seregno
Which team did Masakazu Kihara play for before the current team?,Avispa Fukuoka,Y,
Which team did George Puscas play for before the current team?,Reading F.C.,N,Genoa
Which team did Milorad Savic play for before the current team?,FK Mladi Radnik,N,Radnik Surdulica
Which team did Daniel Mustafa play for before the current team?,Club America,N,Monagas
Which team did Emre Can play for before the current team?,Borussia Dortmund,N,Juventus
Which team did Pietro Visconti play for before the current team?,U.S. Cremonese,N,Pontedera
Which team did Julien Cardy play for before the current team?,AC Arles,Y,
Which team did Alexis Gougeard play for before the current team?,VC Rouen 76,N,B&B Hotels–KTM
Which team did Georges Parfait Mbida Messi play for before the current team?,Persiram Raja Ampat,N,Domant
Which team did Mary Earps play for before the current team?,VfL Wolfsburg,Y,
Which team did Armando Navarrete play for before the current team?,Atletico Irapuato,N,Zacatepec
Which team did Matteo Darmian play for before the current team?,"Inter Milan, Parma Calcio 1913",Y,
Which team did Erhan Kartal play for before the current team?,Kasimpasa S.K.,N,Ankara Keçiörengücü
Which team did Oleksandr Filippov play for before the current team?,Sint-Truidense V.V.,Y,
Which team did Srdan Vujaklija play for before the current team?,FK Proleter Novi Sad,Y,
Which team did Juvhel Tsoumou play for before the current team?,FC Rapid Bucuresti,Y,
Which team did Jorge Pereira da Silva play for before the current team?,Qormi F.C.,N,Gżira United
Which team did Elia Bastianoni play for before the current team?,"U.S. Livorno 1915, Varese Calcio",N,Bassano Virtus
Which team did Manuel Gavilan play for before the current team?,Zamora CF,N,Kitchee
Which team did Svenja Huth play for before the current team?,1. FFC Frankfurt,N,Turbine Potsdam
Which team did Cimo Rocker play for before the current team?,SV Werder Bremen,N,Hertha BSC
Which team did Marco Mathys play for before the current team?,FC St. Gallen,N,Vaduz
Which team did Maikel van der Werff play for before the current team?,SBV Vitesse,N,FC Cincinnati
Which team did Federico Santander play for before the current team?,F.C. Copenhagen,N,Guaraní
Which team did Mohammad Nosrati play for before the current team?,Paykan F.C.,N,Naft Tehran
Which team did Abderrahim Achchakir play for before the current team?,Difaa Hassani El Jadidi,N,Raja CA
Which team did Cenk Tosun play for before the current team?,Gaziantepspor,N, Crystal Palace 
Which team did Mohamed El Morsy play for before the current team?,"Al Ittihad Alexandria Club, Haras El-Hodood SC",Y,
Which team did Marcello Possenti play for before the current team?,"A.C. Lumezzane, Atalanta BC",N,Forlì
Which team did Valentin Lemnaru play for before the current team?,FC Universitatea Cluj,N,Sticla Arieșul Turda
Which team did Maarten van Trijp play for before the current team?,Destil-Parkhotel Valkenburg,Y,
Which team did Malemngamba Meetei play for before the current team?,Bengaluru FC,N,NEROCA FC
Which team did Alessandro Armenise play for before the current team?,Varese Calcio,N,Prato
Which team did Rafael Mea Vitali play for before the current team?,Metropolitanos FC,N,Aragua
Which team did Abdel Lamanje play for before the current team?,FC Shinnik Yaroslavl,N,Astra Giurgiu
Which team did Yuzo Minami play for before the current team?,Ehime FC,Y,
Which team did Tim Sandercombe play for before the current team?,Dorchester Town F.C.,Y,
Which team did Fernando Martin Carreras play for before the current team?,CF La Nucia,N,Portland Trail Blazers
Which team did Robin de Kruijf play for before the current team?,VakifBank SK,Y,
Which team did Mikael Cantave play for before the current team?,CD Villarrobledo,N,Cavalry FC
Which team did Noah Syndergaard play for before the current team?,Las Vegas Aviators,N,Los Angeles Dodgers
Which team did Mohamed El Monir play for before the current team?,Orlando City SC,N,Al-Ittihad Tripoli
Which team did Juan Fernando Quintero play for before the current team?,Stade Rennais F.C.,N,Atlético Junior
Which team did Bruno Perone play for before the current team?,"Kerala Blasters FC, Gremio Novorizontino",N,Horta
Which team did Neil Danns play for before the current team?,"Leicester City F.C., Bolton Wanderers F.C.",N,Connah's Quay Nomads
Which team did Andre Andre play for before the current team?,Vitoria S.C.,Y,
Which team did Marko Memedovic play for before the current team?,"FK Radnik Surdulica, OFK Petrovac",N,Waiheke United
Which team did Lukas Grozurek play for before the current team?,SK Rapid Wien,N,Dinamo Batumi
Which team did Alessandro Piacenti play for before the current team?,"Parma Calcio 1913, Vigor Lamezia",N,Perugia
Which team did Djamel Bouaicha play for before the current team?,Mouloudia Club Oranais,Y,
Which team did Cecilia Salvai play for before the current team?,ACF Brescia Calcio Femminile,Y,
Which team did Marco Piccinni play for before the current team?,S.S. Chieti Calcio,N,Potenza
Which team did Modeste M'bami play for before the current team?,Millonarios,Y,
Which team did Mario Mutsch play for before the current team?,FC St. Gallen,Y,
Which team did Walid Azaro play for before the current team?,Al-Ettifaq FC,Y,
Which team did Junior Sandoval play for before the current team?,Jaguares de Cordoba,N,Las Vegas Lights
Which team did Jonas Hofmann play for before the current team?,Borussia Monchengladbach,Y,
Which team did Sebastian Freis play for before the current team?,SC Freiburg,N,Greuther Fürth
Which team did Katarina Kolar play for before the current team?,Zaglebie Lubin,Y,
Which team did Marco Modolo play for before the current team?,F.C. Pro Vercelli 1892,N,Carpi
Which team did Hugo Pina play for before the current team?,C.D. Mafra,N,Casa Pia
Which team did Cain Fara play for before the current team?,Club Atletico Estudiantes,N,Tigre
Which team did Marco Verratti play for before the current team?,Paris Saint-Germain F.C.,Y,
Which team did Dejan Mezga play for before the current team?,HNK Hajduk Split,N,Polet Sv. Martin na Muri
Which team did Naruphol Ar-Romsawa play for before the current team?,Police Tebrau F.C.,N,Nakhon Ratchasima
Which team does Manuele Boaro play for currently?,Astana Qazaqstan Team,N,Bahrain–Merida
